urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:wind:velocity,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:wind:direction
2020-01-01T00:00:00.000000+0000,7.0,0.4,6.4,0.0
2020-01-02T00:00:00.000000+0000,5.6,2.2,13.2,0.0
2020-01-03T00:00:00.000000+0000,7.3,0.0,14.3,0.0
2020-01-04T00:00:00.000000+0000,10.3,0.0,3.4,225.0
2020-01-05T00:00:00.000000+0000,8.3,2.0,9.3,0.0
2020-01-06T00:00:00.000000+0000,3.7,39.0,14.8,315.0
2020-01-07T00:00:00.000000+0000,4.3,6.0,11.6,315.0
2020-01-08T00:00:00.000000+0000,5.6,0.2,10.8,0.0
2020-01-09T00:00:00.000000+0000,6.3,0.0,9.7,0.0
2020-01-10T00:00:00.000000+0000,8.4,0.0,3.2,157.5
2020-01-11T00:00:00.000000+0000,9.5,0.0,2.4,135.0
2020-01-12T00:00:00.000000+0000,9.8,0.0,3.7,135.0
2020-01-13T00:00:00.000000+0000,9.5,0.0,5.0,0.0
2020-01-14T00:00:00.000000+0000,9.6,0.0,2.6,202.5
2020-01-15T00:00:00.000000+0000,9.9,0.0,7.6,337.5
2020-01-16T00:00:00.000000+0000,9.6,0.0,16.3,0.0
2020-01-17T00:00:00.000000+0000,8.1,0.8,12.2,0.0
2020-01-18T00:00:00.000000+0000,7.0,0.4,8.2,0.0
2020-01-19T00:00:00.000000+0000,6.6,0.6,4.8,0.0
2020-01-20T00:00:00.000000+0000,6.5,0.2,5.8,0.0
2020-01-21T00:00:00.000000+0000,6.1,0.2,7.4,0.0
2020-01-22T00:00:00.000000+0000,8.4,0.0,3.1,135.0
2020-01-23T00:00:00.000000+0000,8.6,0.4,6.3,180.0
2020-01-24T00:00:00.000000+0000,7.4,0.0,3.9,67.5
2020-01-25T00:00:00.000000+0000,8.9,0.0,2.3,135.0
2020-01-26T00:00:00.000000+0000,11.2,0.0,1.4,135.0
2020-01-27T00:00:00.000000+0000,11.4,11.2,3.5,157.5
2020-01-28T00:00:00.000000+0000,11.3,0.0,5.1,270.0
2020-01-29T00:00:00.000000+0000,13.1,0.0,5.6,247.5
2020-01-30T00:00:00.000000+0000,12.6,0.0,8.5,315.0
2020-01-31T00:00:00.000000+0000,10.6,0.0,4.7,270.0
