year,month,day,mean_temperature,rain,average_wind_speed,dominant_wind_direction
2020,1,1,7.0,0.4,6.4,0.0
2020,1,2,5.6,2.2,13.2,0.0
2020,1,3,7.3,0.0,14.3,0.0
2020,1,4,10.3,0.0,3.4,225.0
2020,1,5,8.3,2.0,9.3,0.0
2020,1,6,3.7,39.0,14.8,315.0
2020,1,7,4.3,6.0,11.6,315.0
2020,1,8,5.6,0.2,10.8,0.0
2020,1,9,6.3,0.0,9.7,0.0
2020,1,10,8.4,0.0,3.2,157.5
2020,1,11,9.5,0.0,2.4,135.0
2020,1,12,9.8,0.0,3.7,135.0
2020,1,13,9.5,0.0,5.0,0.0
2020,1,14,9.6,0.0,2.6,202.5
2020,1,15,9.9,0.0,7.6,337.5
2020,1,16,9.6,0.0,16.3,0.0
2020,1,17,8.1,0.8,12.2,0.0
2020,1,18,7.0,0.4,8.2,0.0
2020,1,19,6.6,0.6,4.8,0.0
2020,1,20,6.5,0.2,5.8,0.0
2020,1,21,6.1,0.2,7.4,0.0
2020,1,22,8.4,0.0,3.1,135.0
2020,1,23,8.6,0.4,6.3,180.0
2020,1,24,7.4,0.0,3.9,67.5
2020,1,25,8.9,0.0,2.3,135.0
2020,1,26,11.2,0.0,1.4,135.0
2020,1,27,11.4,11.2,3.5,157.5
2020,1,28,11.3,0.0,5.1,270.0
2020,1,29,13.1,0.0,5.6,247.5
2020,1,30,12.6,0.0,8.5,315.0
2020,1,31,10.6,0.0,4.7,270.0
