station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGP6,Agia_Kuriake_Ioanninon,6,Epirous,20.881944444444446,39.524166666666666,515
LGS8,Agia_Larisas,7,Thessaly,22.8,39.7,167
LG0B,Agia_Paraskeue,10,Attica,23.8,38.0,273
LGU5,Agioi_Theodoroi_Korinthias,9,Peloponnese,23.1,38.0,37
LG7E,Agioi_Pantes_Khanion,1,Crete,24.2,35.4,148
LGJ9,Agios_Nikolaos,1,Crete,25.7,35.2,15
LG2S,Agios_Nikolaos_Trapezes,9,Peloponnese,22.209444444444443,38.15472222222222,775
LG1K,Agios_Paulos_Koutsouphliane,5,Macedonia,21.964166666666667,40.665,1294
LGH9,Agrinio,8,Central Greece,21.4,38.6,75
LGB9,Athena_Gkazi,10,Attica,23.715555555555554,37.97833333333333,60
LGY7,Aigina,10,Attica,23.44361111111111,37.74805555555556,7
LGC7,Aitoliko_Mesologgiou,8,Central Greece,21.4,38.4,3
LGD8,Alexandroupole,4,Thrace,25.9,40.9,69
LGT4,Alikianos_Khanion,1,Crete,23.91638888888889,35.45277777777778,70
LG5C,Alimos,10,Attica,23.710555555555555,37.900277777777774,25
LGN2,Alonnesos,14,Sporades,23.866666666666667,39.15,50
LG4K,Amoni_Sophikou,9,Peloponnese,23.140555555555554,37.82888888888889,55
LGT5,Amorgos,13,Cyclades,25.6,36.5,3
LGH5,Ampelokepoi_Athenon,10,Attica,23.758333333333333,37.98166666666667,136
LGG9,Amuntaio,5,Macedonia,22.5,38.7,654
LG29,Amphikleia,8,Central Greece,22.55,38.71666666666667,245
LG9E,Amphilokhia,8,Central Greece,21.146944444444443,38.89361111111111,40
LG7L,Amphissa,8,Central Greece,22.4,38.5,168
LGS5,Anabussos,10,Attica,23.9,37.733333333333334,10
LG77,Andritsaina_Eleias,9,Peloponnese,21.9,37.5,731
LGN6,Andros,13,Cyclades,24.7,37.9,16
LG6R,Anelio_Metsobou,6,Epirous,21.2,39.7,1660
LGG8,Antikura,8,Central Greece,22.6,38.4,336
LG5O,Antissa_Lesbou,3,North & East Eagean,26.0,39.2,303
LGO0,Ano_Liosia,10,Attica,23.7,38.1,182
LGB6,Anogeia,1,Crete,24.883333333333333,35.28333333333333,801
LGV3,Apeiranthos_Naxou,13,Cyclades,25.4,37.1,600
LG0R,Apidia_Eurota,9,Peloponnese,22.8,36.9,230
LGT0,Apollonas_Naxou,13,Cyclades,25.6,37.2,18
LGC5,Arakhoba,8,Central Greece,22.6,38.5,1069
LGT3,Argos,9,Peloponnese,22.7,37.6,38
LG3L,Arguroupole_Dramas,5,Macedonia,24.0,41.1,96
LGJ4,Ardassa_Kozanes,17,Kozanis Network,21.6,40.5,625
LGO1,Aridaia_Pellas,5,Macedonia,22.0,40.5,123
LG1B,Arsakeio_Drosia,10,Attica,23.85666666666667,38.12166666666667,365
LG3O,Arsakeio_Patron,9,Peloponnese,21.8175,38.301111111111105,112
LG38,Arta,6,Epirous,20.9,39.2,50
LGU6,Arphara_Messenias,9,Peloponnese,22.0,37.2,96
LG6J,Ase_Gonia_Khanion,1,Crete,24.5,35.5,380
LGZ6,Askuphou,1,Crete,24.1,35.2,729
LGE4,Aspraggeloi_Ioanninon,6,Epirous,20.7,39.8,945
LG2Q,Asteri_Eurota,9,Peloponnese,22.7,36.8,8
LGH0,Aulida,8,Central Greece,23.6,38.4,16
LG7B,Bagionia_Erakleiou,1,Crete,24.99888888888889,35.01138888888889,196
LG6N,Bathia_Logga_Phthiotidas,8,Central Greece,22.503888888888888,38.68333333333333,303
LG6K,Bathustalos_Parnassou,8,Central Greece,22.6,38.5,1780
LG4M,Bambakou_Pharsalon,7,Thessaly,22.4,39.3,148
LGZ2,Bare_Attikes,10,Attica,23.80638888888889,37.839444444444446,45
LGB7,Bartholomio_Eleias,9,Peloponnese,21.2,37.9,15
LG9Q,Barumpompe,10,Attica,23.8,38.1,275
LG4H,Batere_Limne_Euboias,15,Evia,23.3,38.8,130
LGE9,Begoritida,5,Macedonia,21.825555555555557,40.841944444444444,647
LGE5,Beroia_Makrokhori,5,Macedonia,22.3,40.6,30
LGR6,Bilia_Attikes,10,Attica,23.3,38.2,528
LG98,Blaste_Kozanes,17,Kozanis Network,21.5,40.2,1194
LG3Q,Blukhada_Attikes,10,Attica,23.4,38.0,68
LG51,Bolos,7,Thessaly,23.0,39.4,52
LG7A,Bolos_Polutekhneio,7,Thessaly,22.9,39.4,9
LG2R,Bounasa_Grebenon,16,Deskatis Network,21.77111111111111,39.94944444444444,1530
LG1D,Brilessia,10,Attica,23.8,38.0,245
LG70,Brusses_Khanion,1,Crete,24.201666666666664,35.37777777777778,58
LGU9,Butina_Arkadias,9,Peloponnese,22.2,37.7,1013
LGN9,Bobousa_Ioanninon,6,Epirous,21.1,39.9,1024
LG4E,Gabalou_Aitoloakarnanias,8,Central Greece,21.53222222222222,38.52833333333333,55
LGY4,Galaxidi,8,Central Greece,22.386666666666667,38.38,80
LG7P,Gerakas,10,Attica,23.853333333333335,38.02305555555555,236
LGX6,Geraki_Lakonias,9,Peloponnese,22.697777777777777,36.99638888888889,330
LG6O,Gonnoi_Tempon,7,Thessaly,22.5,39.9,111
LG9K,Gortuna_Messaras,1,Crete,24.9,35.0,185
LGF2,Grebena,5,Macedonia,21.4,40.1,510
LG9S,Gunaikokastro_Kilkis,18,Kilkis Network,22.7,40.9,75
LGU1,Damarionas_Naxou,13,Cyclades,25.5,37.1,310
LG9M,DETh,11,Salonica,22.5,40.4,29
LGV0,Derbeni_Korinthias,9,Peloponnese,22.4,38.1,5
LGI3,Derbiziana_Ioanninon,6,Epirous,20.797222222222224,39.39833333333333,585
LG1R,Deskate_Grebenon,16,Deskatis Network,21.835555555555555,39.91611111111111,780
LG5E,Diduma_Argolidas,9,Peloponnese,23.17527777777778,37.46666666666667,175
LGZ5,Didumoteikho_Ebrou,4,Thrace,26.5,41.4,35
LG55,Dion_Pierias,5,Macedonia,22.5,40.2,50
LG10,Dionusos_Attikes,10,Attica,23.9,38.1,585
LGW5,Domokos,8,Central Greece,22.3,39.1,570
LGU8,Doxato_Dramas,5,Macedonia,24.2,41.1,91
LGH6,Drama,5,Macedonia,24.14361111111111,41.11805555555556,84
LG5Q,Dutike_Phlorina,5,Macedonia,21.4,40.8,696
LGL5,Ekale_Kastri,10,Attica,23.8275,38.095,340
LG0I,Eleousa_Ioanninon,6,Epirous,20.7925,39.71333333333334,475
LG4F,Eleusina,10,Attica,26.9,35.8,10
LG2C,Elos_Khanion,1,Crete,23.6,35.3,520
LGAB,Emponas_Rodou,12,Dodecanese,27.85527777777778,36.22527777777778,430
LG4T,Eptalophos_Kilkis,18,Kilkis Network,23.0,41.0,452
LG4L,Eptapurgio_Thessalonikes,11,Salonica,22.95777777777778,40.644444444444446,175
LG5T,Eukarpia_Kilkis,18,Kilkis Network,22.9,41.1,275
LGG3,Zagora_Peliou,7,Thessaly,23.1,39.4,505
LGN4,Zakunthos,2,Ionian Islands,20.8,37.8,10
LGD3,Zarakes_Euboias,15,Evia,24.2,38.3,163
LG86,Zakharo_Eleias,9,Peloponnese,21.6,37.5,5
LGN0,Zitsa_Ioanninon,6,Epirous,20.7,39.8,740
LG6Q,Zugos_Kabalas,5,Macedonia,24.368333333333332,40.98638888888889,87
LG0O,Zumbragou_Khanion,1,Crete,23.75611111111111,35.437777777777775,296
LG43,Egoumenitsa,6,Epirous,20.279722222222222,39.541666666666664,77
LG2T,Eliolousto_Kilkis,18,Kilkis Network,22.7,41.1,86
LG1S,Elioupole_Attikes,10,Attica,23.8,37.9,171
LGP5,Erakleia_Kukladon,13,Cyclades,25.5,36.9,24
LG30,Erakleio,1,Crete,25.2,35.3,115
LG2F,Erakleio_Anatolika,1,Crete,25.1,35.3,35
LGW2,Erakleio_Dutika,1,Crete,25.6,35.2,85
LG5B,Thasos,3,North & East Eagean,24.7,40.8,6
LGK2,Theodoriana_Artas,6,Epirous,21.209722222222222,39.43583333333333,962
LGO6,Theologos_Phthiotidas,8,Central Greece,23.1,38.4,29
LG7N,Therma_Serron,5,Macedonia,23.55611111111111,40.915,29
LG1P,Thermopules,8,Central Greece,22.7,38.8,9
LGR9,Thessalonike_Kalamaria,11,Salonica,22.9,40.6,5
LG4G,Theba,8,Central Greece,23.3,38.3,255
LG95,Ierapetra,1,Crete,25.7,35.0,15
LGB0,Ithake,2,Ionian Islands,20.7,38.4,7
LGI9,Ikaria_Rakhes,3,North & East Eagean,26.1,37.6,465
LGM9,Imeros_Rodopes,4,Thrace,25.36916666666667,40.95527777777778,25
LGI0,Ios,13,Cyclades,25.3,36.7,3
LGT8,Ippokrateios_Politeia,10,Attica,23.8,38.2,568
LG85,Isthmos_Korinthou,9,Peloponnese,23.0,38.0,6
LG9T,Istiaia_Euboias,15,Evia,23.129166666666666,38.95027777777778,55
LG7T,Isoma_Kilkis,18,Kilkis Network,23.2,41.0,565
LG49,Ioannina,6,Epirous,20.9,39.6,475
LG5J,Kabala,5,Macedonia,24.400277777777777,40.94027777777777,90
LGR5,Kabontoro,15,Evia,24.583055555555557,38.14972222222222,376
LGB5,Kabos_Malea,9,Peloponnese,23.10138888888889,36.47555555555556,161
LG93,Kaimaktsalan,5,Macedonia,21.8,40.9,2090
LG8P,Kaisareia_Kozanes,17,Kozanis Network,21.859722222222224,40.183611111111105,380
LG7R,Kakopetros_Khanion,1,Crete,23.4,35.2,462
LGV7,Kalabruta,9,Peloponnese,22.1,38.0,781
LG6A,Kalamata,9,Peloponnese,22.1,37.0,5
LG8K,Kalamata_Dutika,9,Peloponnese,22.11277777777778,37.03916666666667,10
LGW3,Kalampaka,7,Thessaly,21.6,39.7,238
LGG6,Kalumnos,12,Dodecanese,26.980555555555554,36.95138888888889,35
LG1U,Kampoi_Keramion_Khanion,1,Crete,24.1,35.4,555
LG9G,Kandanos_Khanion,1,Crete,23.7,35.3,430
LGJ7,Kaparelli_Boiotias,8,Central Greece,23.2,38.38333333333333,345
LG2H,Kardamula_Khiou,3,North & East Eagean,26.115000000000002,38.53805555555555,7
LGZ3,Kardamule_Manes,9,Peloponnese,26.115000000000002,38.53805555555555,2
LG2A,Karditsa,7,Thessaly,21.9,39.4,91
LGC9,Karpenesi,8,Central Greece,21.8,38.9,700
LG6L,Karpenesi_Pole,8,Central Greece,21.8,38.9,990
LG4R,Karpero_Grebenon,16,Deskatis Network,21.6225,39.947222222222216,495
LG2L,Karustos_Euboias,15,Evia,24.41916666666667,38.01638888888889,30
LGM5,Kasos,12,Dodecanese,26.9,35.4,4
LGO9,Kassandreia,5,Macedonia,23.4,40.1,29
LG0M,Kastellorizo,12,Dodecanese,29.6,36.1,5
LGC0,Kastoria,5,Macedonia,21.316666666666666,40.5,623
LG0C,Kastritsi_AkhaIas,9,Peloponnese,21.836666666666666,38.275277777777774,520
LGE0,Katarraktes_Artas,6,Epirous,21.1,39.4,803
LGAC,Kattabia_Rodou,12,Dodecanese,27.7675,35.95444444444445,55
LGP7,Kato_Blassia_AkhaIas,9,Peloponnese,21.926111111111112,38.00972222222222,773
LGE3,Kea,13,Cyclades,24.39638888888889,37.66583333333333,192
LG5D,Kerasia_Pellas,5,Macedonia,22.0,40.9,690
LG9J,Keratea_Attikes,10,Attica,23.969166666666666,38.809444444444445,210
LGD9,Kerkine_Serron,5,Macedonia,23.2,41.1,59
LGJ2,Kerkura,2,Ionian Islands,19.85388888888889,39.64694444444444,528
LG6F,Kephisia,10,Attica,23.81888888888889,38.06583333333333,315
LG8D,Kiato_Korinthias,9,Peloponnese,22.7,38.0,15
LG42,Kilkis,18,Kilkis Network,22.9,41.0,280
LG3T,Kilkis_Pole,18,Kilkis Network,22.9,41.0,277
LG9P,Kitrine_Limne_Kozanes,17,Kozanis Network,21.891944444444444,40.39222222222222,664
LGP9,Kleidi_Boiotias,8,Central Greece,24.0,38.5,252
LGM1,Kleisoura,5,Macedonia,21.5,40.5,1160
LG7I,Kozane,17,Kozanis Network,21.75638888888889,40.27333333333333,768
LGW8,Koimese_Serron,5,Macedonia,23.0,41.0,48
LG5H,Kolumpari_Khanion,1,Crete,23.4,35.3,40
LG7K,Komnena_Eordaias,17,Kozanis Network,21.8,40.6,800
LGD2,Kompoti_Artas,6,Epirous,21.1,39.1,75
LGR4,Koniakos_Phokidas,8,Central Greece,22.2,38.6,840
LG3A,Konitsa,6,Epirous,20.744722222222222,40.04805555555556,530
LG5L,Kordelio_Thessalonikes,11,Salonica,22.9,40.7,24
LG7H,Korinos_Pierias,5,Macedonia,22.6,40.3,18
LG3C,Korudallos,10,Attica,23.6,38.0,75
LGU2,Koronos_Naxou,13,Cyclades,25.5,37.1,540
LGX8,Kouphonesia,13,Cyclades,25.6,36.9,26
LGM7,Kranidi_Argolidas,9,Peloponnese,23.3,37.6,110
LGY0,Krieza_Euboias,15,Evia,24.3,38.4,119
LG1Q,Krokees_Eurota,9,Peloponnese,22.6,36.9,241
LG0D,Kruoneri_Korinthias,9,Peloponnese,22.6,37.9,887
LG8S,Kuthera,10,Attica,23.0,36.3,362
LGX0,Kume_Euboias,15,Evia,24.1,38.63305555555556,259
LGV1,Kuparissia_Messenias,9,Peloponnese,21.7,37.2,36
LG5A,KopaIda,8,Central Greece,22.995,38.45,98
LGX1,Kos,12,Dodecanese,27.3,36.9,37
LGA5,Lagkadas,11,Salonica,23.1,40.7,87
LGW9,Lagkadia_Gortunias,9,Peloponnese,22.0,37.7,970
LGP3,Lailias_Serron,5,Macedonia,23.6,41.3,1515
LG92,Lappa_AkhaIas,9,Peloponnese,21.7,38.2,15
LGL6,Larisa,7,Thessaly,22.4,39.6,82
LG8J,Larisa_Khalke,7,Thessaly,22.543333333333337,39.57083333333334,75
LGD6,Laurio_Attikes,10,Attica,24.1,37.7,3
LG4C,Lebidi_Arkadias,9,Peloponnese,22.6,37.6,853
LGP0,Lentas_Erakleiou,1,Crete,24.9,34.9,15
LG2D,Lesbos_Agia_Paraskeue,3,North & East Eagean,26.3,39.2,92
LGJ3,Lesbos_Therme,3,North & East Eagean,26.49888888888889,39.18222222222222,2
LGI6,Lesbos_Petra,3,North & East Eagean,26.2,39.3,0
LGI7,Leukada,2,Ionian Islands,20.711666666666666,38.830555555555556,12
LGJ8,Leukokhori_Phthiotidas,8,Central Greece,22.7,38.6,0
LGI5,Lemnos,3,North & East Eagean,25.2,39.9,22
LGAA,Lindos_Rodou,12,Dodecanese,28.1,36.1,45
LG1I,Loutraki,9,Peloponnese,23.0,38.0,24
LGV4,Lukokheia_Arkadias,9,Peloponnese,22.1,37.5,870
LG8G,Magouliana_Arkadias,9,Peloponnese,22.7,37.4,1256
LGE7,Makrakome_Phthiotidas,8,Central Greece,22.1,38.9,125
LG0J,Malakasa,10,Attica,23.8,38.2,365
LG2B,Marina_Athenon,10,Attica,23.666666666666668,37.93333333333333,2
LG45,Markopoulo_Attikes,10,Attica,23.919722222222223,37.88,104
LGK0,Marousi_Attikes,10,Attica,23.8,38.0,235
LGA6,Maurolithari_Phokidas,8,Central Greece,22.304722222222225,38.706944444444446,1250
LGZ9,Mauropege_Kozanes,17,Kozanis Network,21.7,40.5,642
LGG5,Megalopole,9,Peloponnese,22.14,37.4,0
LG7D,Megiste_Laura,5,Macedonia,24.3825,40.170833333333334,143
LGW1,Melanes_Naxou,13,Cyclades,25.5,37.1,160
LG3J,Mesobouno_Kozanes,17,Kozanis Network,21.828888888888887,40.638888888888886,781
LGL2,Metaxades_Ebrou,4,Thrace,26.22,41.419999999999995,162
LGD7,Metaxokhori_Erakleiou,1,Crete,25.1,35.1,415
LGO8,Metsobo,6,Epirous,21.2,39.8,1240
LGS0,Melos,13,Cyclades,24.4,36.7,162
LGO7,Mikre_Bigla_Naxou,13,Cyclades,25.4,37.0,13
LG3D,Mikrokampos_Dramas,5,Macedonia,24.1,41.8,93
LGY5,Molubos,3,North & East Eagean,26.2,39.3,290
LG56,Monembasia,9,Peloponnese,23.0,36.7,4
LG4P,Mone_Toplou,1,Crete,22.1,37.6,170
LG9R,Mouzaki_Karditsas,7,Thessaly,21.661666666666665,39.43111111111111,175
LG3S,Mplesibo,9,Peloponnese,22.2,37.5,1545
LG66,Mukonos,13,Cyclades,25.3,37.4,10
LGK8,Murike_Eurutanias,8,Central Greece,21.8,38.9,1045
LGM0,Naxos,13,Cyclades,25.8,37.1,13
LG40,Naousa,5,Macedonia,22.1,40.6,365
LGN5,Nea_Makre,10,Attica,24.0,38.1,25
LG7C,Nea_Mekhaniona,11,Salonica,22.9375,40.58527777777778,7
LG4B,Nea_Peramos_Kabalas,5,Macedonia,24.3,40.8,13
LG0S,Nea_Santa_Kilkis,18,Kilkis Network,22.9,40.8,119
LGR0,Nea_Smurne_Attikes,10,Attica,23.716666666666665,37.95,51
LG4O,Neapole_Lasithiou,1,Crete,25.60611111111111,35.25694444444444,265
LG6M,Neos_Kaukasos,5,Macedonia,21.5,40.9,594
LGM8,Neos_Kosmos_Attikes,10,Attica,23.72,37.95305555555556,80
LGZ4,Neos_Marmaras_Khalkidikes,5,Macedonia,23.780833333333334,40.093333333333334,6
LG7O,Nessonas_Tempon,7,Thessaly,22.5,39.7,92
LG48,Neurokopi,5,Macedonia,23.9,41.3,585
LG0F,Nikaia_Attikes,10,Attica,23.9,37.8,23
LG1J,Nisuros,12,Dodecanese,27.2,36.6,5
LG1O,Noesis_Thessalonikes,11,Salonica,23.0,40.6,60
LGS4,Notio_Pedio_Kozanes,17,Kozanis Network,21.8,40.5,760
LG0Q,Kserolimne_Kozanes,17,Kozanis Network,21.656666666666666,40.28805555555555,689
LG31,Orestiada,4,Thrace,26.5,41.5,28
LG0H,Paidagogike_Peiraia,10,Attica,26.9,35.8,40
LG2K,Palaio_Skulitsi_Emathias,5,Macedonia,22.533333333333335,40.45,4
LG8Q,Palaiokoundoura_Mandras,10,Attica,23.4,38.1,392
LG36,Palaiokhora,1,Crete,23.7,35.2,3
LG0P,Paliouria_Grebenon,16,Deskatis Network,21.72722222222222,39.95111111111111,477
LG6E,Pallene,10,Attica,23.892777777777777,37.99777777777778,156
LGV6,Panakhaiko,9,Peloponnese,21.9,38.3,1588
LGW7,Paximada,15,Evia,24.5,38.0,215
LG8H,Papagou,10,Attica,23.8,38.0,300
LGK6,Papigko_Ioanninon,6,Epirous,20.7,40.0,920
LGB1,Paralia_AkhaIas,9,Peloponnese,21.4,38.1,3
LGF6,Paramuthia,6,Epirous,20.535833333333336,39.496944444444445,650
LGW0,Paranesti_Dramas,5,Macedonia,24.5,41.3,126
LGK9,Parga,6,Epirous,20.405277777777776,39.283055555555556,8
LGF9,Parnassos_1950,8,Central Greece,22.8,38.3,1960
LGK3,Parnetha,10,Attica,23.7,38.2,1230
LG02,Paros,13,Cyclades,25.1,37.0,15
LGT6,Patesia,10,Attica,23.7,38.0,87
LG65,Patmos,12,Dodecanese,26.3,37.2,12
LG0K,Peza_Erakleiou,1,Crete,25.2,35.2,305
LG2J,Peiraias,10,Attica,23.6,37.9,29
LGX9,Pentele,10,Attica,23.9,38.0,495
LG6D,Perama,10,Attica,23.6,38.0,45
LG8R,Perigiali_Korinthias,9,Peloponnese,22.83277777777778,37.93833333333333,38
LGU0,Peristeri,10,Attica,23.703888888888887,38.001666666666665,55
LGE2,Pertouli_Trikalon,7,Thessaly,21.5,39.5,1170
LG9C,Petroupole,10,Attica,23.670555555555556,38.03666666666666,220
LGG7,Peneia_Eleias,9,Peloponnese,21.6,37.8,184
LGT2,Plakias_Rethumnou,1,Crete,24.4,35.2,19
LG3E,Platanias_Khanion,1,Crete,23.884166666666665,35.51694444444444,12
LG2O,Platanoulia_Larisas,7,Thessaly,22.313055555555557,39.68888888888888,83
LG8N,Plora_Erakleiou,1,Crete,24.938333333333333,35.01222222222222,0
LG33,Poluguros,5,Macedonia,23.4,40.4,580
LGL0,Poludroso_Phokidas,8,Central Greece,23.9,38.8,350
LGY6,Porto_Raphte,10,Attica,24.015555555555554,37.88611111111111,11
LG9N,Potamoi_Lasithiou,1,Crete,25.5,35.2,865
LGP1,Pramanta_Ioanninnon,6,Epirous,21.1,39.5,840
LG8L,Prespes,5,Macedonia,21.078611111111112,40.788888888888884,854
LG26,PtolemaIda,5,Macedonia,21.7,40.5,606
LG2I,PtolemaIda_Va,5,Macedonia,21.8,40.5,660
LG9H,Pulos,9,Peloponnese,21.7,36.9,16
LG8A,Purathi_Erakleiou,1,Crete,25.2,35.1,311
LG59,Purgos,9,Peloponnese,21.4,37.7,22
LGZ0,Raphena,10,Attica,24.010833333333334,38.01555555555556,25
LG58,Rethumno,1,Crete,24.4,35.4,20
LG4I,Rethumno_Pole,1,Crete,24.48888888888889,35.361111111111114,50
LGO4,Rizomata_Emathias,5,Macedonia,22.2,40.3,650
LGH8,Rio,9,Peloponnese,21.8,38.3,2
LGS9,Rodos,12,Dodecanese,28.2,36.4,95
LGT9,Romanos_Patron,9,Peloponnese,21.7875,38.22833333333333,237
LG5G,Salamina,10,Attica,23.3,37.6,5
LGB4,Samaria_Drumos,1,Crete,23.9,35.3,1250
LGY1,Samaria_Pharaggi,1,Crete,24.0,35.3,349
LGC1,Samothrake,3,North & East Eagean,25.50138888888889,40.463055555555556,90
LGF1,Samos_Karlobasi,3,North & East Eagean,26.681944444444447,37.79361111111111,25
LGX5,Santorine,13,Cyclades,25.4,36.4,183
LG87,Seli,5,Macedonia,22.0,40.6,1520
LG9D,Sempronas_Khanion,1,Crete,23.8,35.4,640
LGW6,Serres,5,Macedonia,23.5,41.1,32
LGT7,Setta_Euboias,15,Evia,23.919722222222223,38.535555555555554,925
LGM2,Seteia,1,Crete,26.1,35.2,30
LG1E,Simonopetra,5,Macedonia,24.2,40.2,278
LG8C,Sindos,11,Salonica,22.8,40.7,6
LG2P,Siphnos,13,Cyclades,24.7,37.0,5
LG7G,SKA,10,Attica,23.7,38.1,149
LG24,Skiathos,14,Sporades,23.3,39.2,20
LG5R,Skiathos_Ksanemos,14,Sporades,23.50777777777778,39.18333333333333,25
LG2M,Skopelos_Glossa,14,Sporades,23.618333333333332,39.17444444444444,199
LGI1,Skuros,14,Sporades,24.5,38.8,23
LG3P,Sounio,10,Attica,24.0,37.7,32
LGF7,Sparte,9,Peloponnese,22.4,37.1,204
LGG2,Spata_Attikes,10,Attica,23.909166666666664,37.98277777777778,120
LGS6,Spetses,10,Attica,23.2,37.3,3
LG75,Speli_Rethumnou,1,Crete,24.3,35.1,405
LG1N,Stalos_Khanion,1,Crete,23.9,35.5,93
LG8B,Staurakia_Erakleiou,1,Crete,25.0625,35.25333333333333,245
LGS2,Stemnitsa_Arkadias,9,Peloponnese,22.1,37.6,1094
LG81,Stene_Euboias,15,Evia,23.8,38.6,430
LG9O,Stephane_Boiotias,8,Central Greece,23.5,38.2,573
LGC4,Stura_Euboias,15,Evia,24.2,38.2,12
LG3N,Stupse_Lesbou,3,North & East Eagean,26.2,39.3,355
LGW4,Sphakia,1,Crete,24.1,35.2,770
LGX7,Skhoinousa,13,Cyclades,25.5,36.9,72
LG5K,Taktikoupole_Troizenias,9,Peloponnese,23.2,37.3,15
LG69,Tanagra,8,Central Greece,23.583888888888886,38.3325,133
LG3B,Tatoi,10,Attica,23.8,38.1,283
LG1T,Terpullos_Kilkis,18,Kilkis Network,23.0,41.0,240
LG50,Tzermiadon,1,Crete,25.5,35.2,820
LG6P,Tenos_Porto,13,Cyclades,25.3,37.5,123
LG57,Trikala,7,Thessaly,21.8,39.6,163
LGR1,Trikala_Korinthias,9,Peloponnese,22.5,38.0,1077
LG83,Tripole,9,Peloponnese,22.41777777777778,37.50944444444445,646
LGD0,Tristeno_Ioanninon,6,Epirous,21.0,39.8,940
LG0E,Tsepelobo_Ioanninon,6,Epirous,20.820555555555554,39.90416666666667,1080
LGM4,Turia_Ioanninon,6,Epirous,20.7,39.5,340
LGM3,Udra,10,Attica,23.466666666666665,37.352222222222224,2
LG0G,Ummetos_Daphne,10,Attica,23.74,37.94,125
LGL9,Phalasarna_Khanion,1,Crete,23.6,35.5,10
LGS3,Phalero,10,Attica,23.692777777777778,37.92944444444444,25
LG8E,Philiatra_Messenias,9,Peloponnese,21.583333333333332,37.15,65
LG9A,Phinokalia_Lasethiou,1,Crete,25.7,35.3,250
LG63,Phlorina,5,Macedonia,21.466666666666665,40.78333333333333,637
