station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGP6,Αγια Κυριακή Ιωαννίνων,6,Ήπειρος,20.881944444444446,39.524166666666666,515
LGS8,Αγιά Λάρισας,7,Θεσσαλία,22.8,39.7,167
LG0B,Αγία Παρασκευή,10,Αττική,23.8,56.0,273
LGU5,Άγιοι Θεόδωροι Κορινθίας,9,Πελοπόννησος,23.1,38.0,37
LG7E,Άγιοι Πάντες Χανίων,1,Κρήτη,24.2,35.4,148
LGJ9,Αγιος Νικόλαος,1,Κρήτη,25.7,35.2,15
LG2S,Άγιος Νικόλαος Τραπέζης,9,Πελοπόννησος,22.209444444444443,38.15472222222222,775
LG1K,Άγιος Παύλος - Κουτσούφλιανη,5,Μακεδονία,-21.964166666666667,40.665,1294
LGH9,Αγρίνιο,8,Στερεά Ελλάδα,21.4,38.6,75
LGB9,Αθήνα (Γκάζι),10,Αττική,23.715555555555554,37.97833333333333,60
LGY7,Αίγινα,10,Αττική,23.44361111111111,37.74805555555556,7
LGC7,Αιτωλικό Μεσολογγίου,8,Στερεά Ελλάδα,21.4,38.4,3
LGD8,Αλεξανδρούπολη,4,Θράκη,25.9,40.9,69
LGT4,Αλικιανός Χανίων,1,Κρήτη,23.91638888888889,35.45277777777778,70
LG5C,Άλιμος,10,Αττική,23.710555555555555,37.900277777777774,25
LGN2,Αλόννησος,14,Σποράδες,23.866666666666667,39.15,50
LG4K,Αμόνι Σοφικού,9,Πελοπόννησος,23.140555555555554,37.82888888888889,55
LGT5,Αμοργός,13,Κυκλάδες,25.6,36.5,3
LGH5,Αμπελόκηποι Αθηνών,10,Αττική,23.758333333333333,37.98166666666667,136
LGG9,Αμύνταιο,5,Μακεδονία,22.5,38.7,654
LG29,Αμφίκλεια,8,Στερεά Ελλάδα,22.55,38.71666666666667,245
LG9E,Αμφιλοχία,8,Στερεά Ελλάδα,21.146944444444443,38.89361111111111,40
LG7L,Άμφισσα,8,Στερεά Ελλάδα,22.4,38.5,168
LGS5,Ανάβυσσος,10,Αττική,23.9,37.733333333333334,10
LG77,Ανδρίτσαινα Ηλείας,9,Πελοπόννησος,21.9,37.5,731
LGN6,Ανδρος,13,Κυκλάδες,24.7,37.9,16
LG6R,Ανήλιο Μετσόβου,6,Ήπειρος,21.2,39.7,1660
LGG8,Αντίκυρα,8,Στερεά Ελλάδα,22.6,38.4,336
LG5O,Άντισσα Λέσβου,3,Βόρειο & Ανατολικό Αιγαίο,26.0,39.2,303
LGO0,Ανω Λιόσια,10,Αττική,23.7,38.1,182
LGB6,Ανώγεια,1,Κρήτη,24.883333333333333,35.28333333333333,801
LGV3,Απείρανθος Νάξου,13,Κυκλάδες,25.4,37.1,600
LG0R,Απιδιά Ευρώτα,9,Πελοπόννησος,22.8,36.9,230
LGT0,Απόλλωνας Νάξου,13,Κυκλάδες,25.6,37.2,18
LGC5,Αράχωβα,8,Στερεά Ελλάδα,22.6,38.5,1069
LGT3,Άργος,9,Πελοπόννησος,22.7,37.6,38
LG3L,Αργυρούπολη Δράμας,5,Μακεδονία,24.0,41.1,96
LGJ4,Αρδασσα Κοζάνης,17,Δίκτυο Κοζάνης,21.6,40.5,625
LGO1,Αριδαία Πέλλας,5,Μακεδονία,22.0,40.5,123
LG1B,Αρσάκειο - Δροσιά,10,Αττική,23.85666666666667,38.12166666666667,365
LG3O,Αρσάκειο Πατρών,9,Πελοπόννησος,21.8175,38.301111111111105,112
LG38,Άρτα,6,Ήπειρος,20.9,39.2,50
LGU6,Αρφαρά Μεσσηνίας,9,Πελοπόννησος,22.0,37.2,96
LG6J,Ασή Γωνιά Χανίων,1,Κρήτη,24.5,35.5,380
LGZ6,Ασκύφου,1,Κρήτη,24.1,35.2,729
LGE4,Ασπράγγελοι Ιωαννίνων,6,Ήπειρος,20.7,39.8,945
LG2Q,Αστέρι Ευρώτα,9,Πελοπόννησος,22.7,36.8,8
LGH0,Αυλίδα,8,Στερεά Ελλάδα,23.6,38.4,16
LG7B,Βαγιωνιά Ηρακλείου,1,Κρήτη,24.99888888888889,35.01138888888889,196
LG6N,Βαθιά Λογγά Φθιώτιδας,8,Στερεά Ελλάδα,22.503888888888888,38.68333333333333,303
LG6K,Βαθύσταλος Παρνασσού,8,Στερεά Ελλάδα,22.6,38.5,1780
LG4M,Βαμβακού Φαρσάλων,7,Θεσσαλία,22.4,39.3,148
LGZ2,Βάρη Αττικής,10,Αττική,23.80638888888889,37.839444444444446,45
LGB7,Βαρθολομιό Ηλείας,9,Πελοπόννησος,21.2,37.9,15
LG9Q,Βαρυμπόμπη,10,Αττική,23.8,38.1,275
LG4H,Βατερή - Λίμνη Ευβοίας,15,Εύβοια,23.3,38.8,130
LGE9,Βεγορίτιδα,5,Μακεδονία,21.825555555555557,40.841944444444444,647
LGE5,Βέροια-Μακροχώρι,5,Μακεδονία,22.3,40.6,30
LGR6,Βίλια Αττικής,10,Αττική,23.3,38.2,528
LG98,Βλάστη Κοζάνης,17,Δίκτυο Κοζάνης,21.5,21.5,1194
LG3Q,Βλυχάδα Αττικής,10,Αττική,23.4,38.0,68
LG51,Βόλος,7,Θεσσαλία,23.0,39.4,52
LG7A,Βόλος - Πολυτεχνείο,7,Θεσσαλία,22.9,39.4,9
LG2R,Βουνάσα Γρεβενών,16,Δίκτυο Δεσκάτης,21.77111111111111,39.94944444444444,1530
LG1D,Βριλήσσια,10,Αττική,23.8,38.0,245
LG70,Βρύσσες Χανίων,1,Κρήτη,24.201666666666664,35.37777777777778,58
LGU9,Βυτίνα Αρκαδίας,9,Πελοπόννησος,22.2,37.7,1013
LGN9,Βωβούσα Ιωαννίνων,6,Ήπειρος,21.1,39.9,1024
LG4E,Γαβαλού Αιτωλοακαρνανίας,8,Στερεά Ελλάδα,21.53222222222222,38.52833333333333,55
LGY4,Γαλαξίδι,8,Στερεά Ελλάδα,22.386666666666667,38.38,80
LG7P,Γέρακας,10,Αττική,23.853333333333335,38.02305555555555,236
LGX6,Γεράκι Λακωνίας,9,Πελοπόννησος,22.697777777777777,36.99638888888889,330
LG6O,Γόννοι Τεμπών,7,Θεσσαλία,22.5,39.9,111
LG9K,Γόρτυνα Μεσσαράς,1,Κρήτη,24.9,35.0,185
LGF2,Γρεβενά,5,Μακεδονία,21.4,40.1,510
LG9S,Γυναικόκαστρο Κιλκίς,18,Δίκτυο Κιλκίς,22.7,40.9,75
LGU1,Δαμαρίωνας Νάξου,13,Κυκλάδες,25.5,37.1,310
LG9M,ΔΕΘ,11,Θεσσαλονίκη,22.5,40.4,29
LGV0,Δερβένι Κορινθίας,9,Πελοπόννησος,22.4,38.1,5
LGI3,Δερβίζιανα Ιωαννίνων,6,Ήπειρος,20.797222222222224,39.39833333333333,585
LG1R,Δεσκάτη Γρεβενών,16,Δίκτυο Δεσκάτης,21.835555555555555,39.91611111111111,780
LG5E,Δίδυμα Αργολίδας,9,Πελοπόννησος,23.17527777777778,37.46666666666667,175
LGZ5,Διδυμότειχο Έβρου,4,Θράκη,26.5,41.4,35
LG55,Δίον Πιερίας,5,Μακεδονία,22.5,40.2,50
LG10,Διόνυσος Αττικής,10,Αττική,23.9,38.1,585
LGW5,Δομοκός,8,Στερεά Ελλάδα,22.3,39.1,570
LGU8,Δοξάτο Δράμας,5,Μακεδονία,24.2,41.1,91
LGH6,Δράμα,5,Μακεδονία,24.14361111111111,41.11805555555556,84
LG5Q,Δυτική Φλώρινα,5,Μακεδονία,21.4,40.8,696
LGL5,Εκάλη/Καστρί,10,Αττική,-23.8275,38.095,340
LG0I,Ελεούσα Ιωαννίνων,6,Ήπειρος,20.7925,39.71333333333334,475
LG4F,Ελευσίνα,10,Αττική,6.9,45.8,10
LG2C,Έλος Χανίων,1,Κρήτη,23.6,35.3,520
LGAB,Έμπονας Ρόδου,12,Δωδεκάνησα,27.85527777777778,36.22527777777778,430
LG4T,Επτάλοφος Κιλκίς,18,Δίκτυο Κιλκίς,23.0,41.0,452
LG4L,Επταπύργιο Θεσσαλονίκης,11,Θεσσαλονίκη,22.95777777777778,40.644444444444446,175
LG5T,Ευκαρπία Κιλκίς,18,Δίκτυο Κιλκίς,22.9,41.1,275
LGG3,Ζαγορά Πηλίου,7,Θεσσαλία,23.1,39.4,505
LGN4,Ζάκυνθος,2,Νησιά Ιονίου,20.8,37.8,10
LGD3,Ζάρακες Ευβοίας,15,Εύβοια,24.2,38.3,163
LG86,Ζαχάρω Ηλείας,9,Πελοπόννησος,21.6,37.5,5
LGN0,Ζίτσα Ιωαννίνων,6,Ήπειρος,20.7,39.8,740
LG6Q,Ζυγός Καβάλας,5,Μακεδονία,24.368333333333332,40.98638888888889,87
LG0O,Ζυμβραγού Χανίων,1,Κρήτη,23.75611111111111,35.437777777777775,296
LG43,Ηγουμενίτσα,6,Ήπειρος,20.279722222222222,39.541666666666664,77
LG2T,Ηλιόλουστο Κιλκίς,18,Δίκτυο Κιλκίς,22.7,41.1,86
LG1S,Ηλιούπολη Αττικής,10,Αττική,23.8,37.9,171
LGP5,Ηρακλειά Κυκλάδων,13,Κυκλάδες,25.5,36.9,24
LG30,Ηράκλειο,1,Κρήτη,25.2,35.3,115
LG2F,Ηράκλειο Ανατολικά,1,Κρήτη,25.1,35.3,35
LGW2,Ηράκλειο Δυτικά,1,Κρήτη,25.6,35.2,85
LG5B,Θάσος,3,Βόρειο & Ανατολικό Αιγαίο,24.7,40.8,6
LGK2,Θεοδώριανα Αρτας,6,Ήπειρος,21.209722222222222,39.43583333333333,962
LGO6,Θεολόγος Φθιώτιδας,8,Στερεά Ελλάδα,23.1,38.4,29
LG7N,Θερμά Σερρών,5,Μακεδονία,23.55611111111111,40.915,29
LG1P,Θερμοπύλες,8,Στερεά Ελλάδα,22.7,38.8,9
LGR9,Θεσσαλονίκη (Καλαμαριά),11,Θεσσαλονίκη,22.9,40.6,5
LG4G,Θήβα,8,Στερεά Ελλάδα,23.3,38.3,255
LG95,Ιεράπετρα,1,Κρήτη,25.7,35.0,15
LGB0,Ιθάκη,2,Νησιά Ιονίου,20.7,38.4,7
LGI9,Ικαρία (Ράχες),3,Βόρειο & Ανατολικό Αιγαίο,26.1,37.6,465
LGM9,Ιμερος Ροδόπης,4,Θράκη,25.36916666666667,40.95527777777778,25
LGI0,Ιος,13,Κυκλάδες,25.3,36.7,3
LGT8,Ιπποκράτειος Πολιτεία,10,Αττική,23.8,38.2,568
LG85,Ισθμός Κορίνθου,9,Πελοπόννησος,23.0,38.0,6
